player_name,height,nationality,goals
Neymar,1.75 m,Brazil,222.0
Philippe Coutinho,1.72 m,Brazil,71.0
Kylian Mbappé,1.78 m,France,84.0
João Félix,1.81 m,Portugal,26.0
Ousmane Dembélé,1.78 m,France,43.0
Antoine Griezmann,1.76 m,France,148.0
Cristiano Ronaldo,"1.87 m {{refn|group|=|note|The number varies between 1.85 and 1.89 by publisher. [[Yle]], ''[[Svenska Dagbladet]]'' and ''[[Sports Illustrated]]'' give 1.85,|ref|{{cite web|url=https://yle.fi/urheilu/3-8181601|title=Mitä Ronaldo touhuaa, eikö pituus riitä?|publisher=Yleisradio|website=yle.fi|language=Finnish|date=25 July 2015|access-date=22 July 2019|last=Naakka|first=Anna-Maija}}|</ref>|ref|{{cite web|url=https://www.svd.se/portugals-em-trupp|title=Portugals EM-trupp|website=SvD.se|language=Swedish|date=22 May 2008|access-date=24 July 2019}}|</ref>|ref|{{cite web|url=https://www.si.com/soccer/2017/08/16/cristiano-ronaldo-height-how-tall-real-madrid|title=How Tall is Cristiano Ronaldo?|first=Stanley|last=Kay|work=Sports Illustrated|date=16 August 2017|accessdate=13 July 2019}}|</ref>| |ill|Luca Caioli|es|fi| 1.86,|sfn|Caioli|2016| [[Sveriges Television]] 1.865,|ref|{{cite web|url=https://www.svt.se/sport/artikel/alskad-eller-hatad-cristiano-ronaldo|title=Älskad eller hatad – Cristiano Ronaldo|publisher=Sveriges Television|language=Swedish|date=23 May 2010|access-date=24 July 2019|last=Lundell|first=Johan}}|</ref>| [[FIFA]] and [[EA Sports]] 1.87,|ref|{{cite web|url=https://www.fifa.com/worldcup/players/player/201200/profile/|title=2018 FIFA World Cup Russia™ - Players – CRISTIANO RONALDO|publisher=Fédération Internationale de Football Association (FIFA)|website=FIFA.com|date=16 August 2017|accessdate=13 July 2019}}|</ref>|ref|{{cite web|url=http://www.easports.com/fifa/ultimate-team/fut/database/player/20801/Cristiano%20Ronaldo|title=Cristiano Ronaldo {{!}} EA SPORTS FUT Database {{!}} FIFA Ultimate Team|work=Official website of EA Sports|accessdate=24 July 2019}}|</ref>| and [[Portuguese Football Federation]] 1.89.|ref|{{cite web|url=https://www.fpf.pt/Jogadores/Cristiano-Ronaldo|title=Cristiano Ronaldo|publisher=Portuguese Football Federation (FPF)|accessdate=22 July 2019|language=Pt}}|</ref>}} {{ill|Luca Caioli|es|fi}} 1.86, {{sfn|Caioli|2016}} [[Sveriges Television]] 1.865, [[FIFA]] and [[EA Sports]] 1.87, and [[Portuguese Football Federation]] 1.89.",Portugal,441.0
Paul Pogba,1.91 m,France,52.0
Gareth Bale,{{height|ft|=|6|in|=|1}},Wales,127.0
Eden Hazard,1.75 m,Belgium,122.0
