,ID,arrival_club,arrival_league,player_name,age,position,transfer_price,year_1,year_2,origin_club,origin_league,grouping_positions_1,grouping_positions_2,arrival_club_tier,origin_club_tier,age_grouping_1,age_grouping_2,transfer_price_group1,transfer_price_group2,pot,nationality,ovr,height,to_year,overall_app,overall_gls
0,5427,Getafe CF,Primera Division,Derek Boateng,26,Defensive Midfield,0.675,2009,Before2016,1. FC Köln,1 Bundesliga,CDM,M,Tier_3,Tier_3,U30,Under30,Below1M,Below5M,,Ghana,,1.8288,2009.0,210.0,29.0
1,4285,FC Schalke 04,1 Bundesliga,Peer Kluge,29,Defensive Midfield,1.35,2009,Before2016,1.FC Nuremberg,1 Bundesliga,CDM,M,Tier_2,Tier_4,U30,Under30,10Mto1M,Below5M,84.0,Germany,77.0,1.79,2009.0,250.0,19.0
2,5453,Hertha BSC,1 Bundesliga,Artur Wichniarek,32,Centre Forward,0.63,2009,Before2016,Arm. Bielefeld,Other,CF,F,Tier_3,Tier_4,A30,Above30,Below1M,Below5M,76.0,Poland,73.0,1.83,,,
3,4865,Hamburger SV,1 Bundesliga,Robert Tesche,22,Central Midfield,0.9,2009,Before2016,Arm. Bielefeld,Other,CM,M,Tier_2,Tier_4,U25,Under23,Below1M,Below5M,74.0,Germany,64.0,1.82,2009.0,78.0,9.0
4,1361,Ajax Amsterdam,Eredivisie,Demy de Zeeuw,26,Central Midfield,7.2,2009,Before2016,AZ Alkmaar,Eredivisie,CM,M,Tier_2,Tier_3,U30,Under30,10Mto1M,20Mto5M,78.0,Netherlands,71.0,1.74,2009.0,184.0,22.0
5,1834,Spartak Moscow,Premier Liga,Demy de Zeeuw,28,Central Midfield,5.4,2011,Before2016,Ajax Amsterdam,Eredivisie,CM,M,Tier_2,Tier_2,U30,Under30,10Mto1M,20Mto5M,80.0,Netherlands,77.0,1.74,2011.0,243.0,30.0
6,3139,Spartak Moscow,Premier Liga,Ari,24,Centre Forward,2.7,2009,Before2016,AZ Alkmaar,Eredivisie,CF,F,Tier_2,Tier_3,U25,Under30,10Mto1M,Below5M,77.0,Brazil,,,,,
7,6019,FK Krasnodar,Premier Liga,Ari,27,Centre Forward,0.36,2013,Before2016,Spartak Moscow,Premier Liga,CF,F,Tier_2,Tier_2,U30,Under30,Below1M,Below5M,82.0,Brazil,79.0,,,,
8,5668,Eintracht Frankfurt,1 Bundesliga,Pirmin Schwegler,22,Defensive Midfield,0.45,2009,Before2016,Bayer 04 Leverkusen,1 Bundesliga,CDM,M,Tier_2,Tier_1,U25,Under23,Below1M,Below5M,82.0,Switzerland,70.0,1.79,2009.0,118.0,4.0
9,4091,TSG 1899 Hoffenheim,1 Bundesliga,Pirmin Schwegler,27,Defensive Midfield,1.71,2014,Before2016,Eintracht Frankfurt,1 Bundesliga,CDM,M,Tier_2,Tier_2,U30,Under30,10Mto1M,Below5M,80.0,Switzerland,76.0,1.79,2014.0,246.0,10.0
10,5384,SV Werder Bremen,1 Bundesliga,Tim Borowski,29,Central Midfield,0.675,2009,Before2016,Bayern Munich,1 Bundesliga,CM,M,Tier_2,Tier_1,U30,Under30,Below1M,Below5M,88.0,Germany,82.0,1.94,2009.0,253.0,40.0
11,4867,FC Schalke 04,1 Bundesliga,Alexander Baumjohann,22,Attacking Midfield,0.9,2009,Before2016,Bayern Munich,1 Bundesliga,CAM,M,Tier_2,Tier_1,U25,Under23,Below1M,Below5M,79.0,Germany,,1.78,2009.0,71.0,10.0
12,1046,1. FC Köln,1 Bundesliga,Lukas Podolski,24,Second Striker,9.0,2009,Before2016,Bayern Munich,1 Bundesliga,CF,F,Tier_3,Tier_1,U25,Under30,10Mto1M,20Mto5M,90.0,Germany,83.0,1.8,2009.0,154.0,61.0
13,649,Arsenal FC,Premier League,Lukas Podolski,27,Second Striker,13.5,2012,Before2016,1. FC Köln,1 Bundesliga,CF,F,Tier_1,Tier_3,U30,Under30,40Mto10M,20Mto5M,85.0,Germany,81.0,1.8,2012.0,244.0,94.0
14,2412,Borussia Dortmund,1 Bundesliga,Mats Hummels,20,Centre Back,3.78,2009,Before2016,Bayern Munich,1 Bundesliga,CB,D,Tier_1,Tier_1,U21,Under23,10Mto1M,Below5M,85.0,Germany,65.0,1.92,2009.0,43.0,5.0
