AL,Y,OL,P,AC,OC,A,T,Pot,Ovr,N
Premier League,2009,Ligue 1,CB,Tier_2,Tier_1,U25,10Mto1M,85above,75to84,EU
Ligue 1,2015,Serie A,CB,Tier_3,Tier_2,A30,Below1M,75to84,75to84,EU
Serie A,2012,Serie A,GK,Tier_2,Tier_4,U25,10Mto1M,75to84,below65,EU
Serie A,2013,Other,GK,Tier_2,Tier_4,U25,Below1M,75to84,65to74,EU
Serie A,2017,Serie A,GK,Tier_2,Tier_2,U30,10Mto1M,75to84,65to74,EU
Serie A,2013,Other,CM,Tier_1,Tier_4,U21,Below1M,75to84,65to74,EU
Ligue 1,2014,Other,LW,Tier_2,Tier_4,U25,Below1M,below65,below65,EU
Serie A,2015,Serie A,RB,Tier_1,Tier_3,U21,10Mto1M,75to84,65to74,EU
1 Bundesliga,2016,1 Bundesliga,CB,Tier_2,Tier_3,U30,10Mto1M,75to84,65to74,EU
Serie A,2016,Other,CF,Tier_1,Tier_4,U21,Below1M,75to84,65to74,EU
Premier Liga,2016,Other,CF,Tier_3,Tier_4,U25,10Mto1M,75to84,65to74,EU
Premier Liga,2016,Other,RW,Tier_3,Tier_4,U25,Below1M,75to84,65to74,EU
Primera Division,2017,Other,CF,Tier_3,Tier_4,U30,Below1M,65to74,below65,EU
Primera Division,2018,Other,LW,Tier_3,Tier_4,U21,Below1M,75to84,65to74,EU
1 Bundesliga,2009,Ligue 1,CAM,Tier_1,Tier_1,U30,10Mto1M,75to84,75to84,AF
Premier League,2009,Primera Division,CF,Tier_2,Tier_2,U25,10Mto1M,75to84,65to74,AF
Premier League,2010,Liga Nos,CB,Tier_2,Tier_1,U25,10Mto1M,75to84,below65,AF
Premier League,2013,Other,CM,Tier_2,Tier_4,U30,10Mto1M,75to84,65to74,AF
Premier League,2016,Premier League,CM,Tier_3,Tier_2,A30,10Mto1M,65to74,65to74,AF
Premier Liga,2010,Other,GK,Tier_4,Tier_4,U25,Below1M,75to84,65to74,AF
Serie A,2011,Serie A,LB,Tier_1,Tier_4,U30,Below1M,65to74,65to74,AF
Liga Nos,2011,Other,RW,Tier_4,Tier_4,U25,Below1M,75to84,65to74,AF
